Process	PID	Thread	TID	State	Wall duration (ms)	Avg Wall duration (ms)	Occurrences
kthreadd	2	ksoftirqd/3	25	Runnable	17.679768	0.252568	70
org.mozilla.firefox:tab0	14091	JS Watchdog	14203	Running	17.431613	0.198086	88
org.mozilla.firefox	13990	JS Watchdog	14086	Running	17.211693	0.132397	130
kthreadd	2	kworker/u8:3	14523	Runnable (Preempted)	16.887387	0.331125	51
org.mozilla.firefox	13990	arch_disk_io_2	14060	Uninterruptible Sleep + Wake Kill	16.81177	1.681177	10
org.mozilla.firefox:tab0	14091	JS Watchdog	14203	Runnable	16.667466	0.260429	64
kthreadd	2	kworker/1:0	2943	Running	16.461473	0.03339	493
kthreadd	2	dmcrypt_write	473	Runnable (Preempted)	16.395005	0.334591	49
/system/bin/surfaceflinger	3534	surfaceflinger	3547	Runnable	16.164691	0.207239	78
kthreadd	2	ksoftirqd/2	20	Runnable	16.144312	0.179381	90
org.mozilla.firefox:tab0	14091	ImageIO	14216	Uninterruptible Sleep + Wake Kill	15.90854	3.181708	5
kthreadd	2	bat_routine_thr	202	Running	15.720934	0.093576	168
kthreadd	2	mtk charger_hv_	204	Uninterruptible Sleep	15.580081	0.210541	74
/system/bin/surfaceflinger	3534	surfaceflinger	3547	Running	15.492308	0.164811	94
org.mozilla.firefox:tab0	14091	Binder:14091_4	14111	Sleeping	15.44277	7.721385	2
kthreadd	2	kauditd	255	Runnable	15.390232	0.248229	62
